Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-03-17,116588: Δ=413,3550: Δ=5
2021-03-16,116175: Δ=238,3545: Δ=5
2021-03-15,115937: Δ=240,3540: Δ=4
2021-03-14,115697: Δ=321,3536: Δ=6
2021-03-13,115376: Δ=347,3530: Δ=7
2021-03-12,115029: Δ=412,3523: Δ=9
2021-03-11,114617: Δ=318,3514: Δ=8
2021-03-10,114299: Δ=327,3506: Δ=7
2021-03-09,113972: Δ=206,3499: Δ=4
2021-03-08,113766: Δ=213,3495: Δ=2
2021-03-07,113553: Δ=291,3493: Δ=11
2021-03-06,113262: Δ=317,3482: Δ=10
2021-03-05,112945: Δ=302,3472: Δ=4
2021-03-04,112643: Δ=282,3468: Δ=8
2021-03-03,112361: Δ=311,3460: Δ=8
2021-03-02,112050: Δ=-16,3452: Δ=8
2021-03-01,112066: Δ=268,3444: Δ=6
2021-02-28,111798: Δ=293,3438: Δ=9
2021-02-27,111505: Δ=274,3429: Δ=9
2021-02-26,111231: Δ=332,3420: Δ=4
2021-02-25,110899: Δ=411,3416: Δ=7
2021-02-24,110488: Δ=372,3409: Δ=11
2021-02-23,110116: Δ=225,3398: Δ=9
2021-02-22,109891: Δ=212,3389: Δ=7
2021-02-21,109679: Δ=222,3382: Δ=11
2021-02-20,109457: Δ=364,3371: Δ=10
2021-02-19,109093: Δ=334,3361: Δ=10
2021-02-18,108759: Δ=348,3351: Δ=8
2021-02-17,108411: Δ=239,3343: Δ=7
2021-02-16,108172: Δ=176,3336: Δ=16
2021-02-15,107996: Δ=340,3320: Δ=8
2021-02-14,107656: Δ=340,3312: Δ=17
2021-02-13,107316: Δ=405,3295: Δ=13
2021-02-12,106911: Δ=429,3282: Δ=17
2021-02-11,106482: Δ=371,3265: Δ=9
2021-02-10,106111: Δ=357,3256: Δ=15
2021-02-09,105754: Δ=228,3241: Δ=13
2021-02-08,105526: Δ=260,3228: Δ=12
2021-02-07,105266: Δ=536,3216: Δ=14
2021-02-06,104730: Δ=588,3202: Δ=15
2021-02-05,104142: Δ=561,3187: Δ=21
2021-02-04,103581: Δ=419,3166: Δ=11
2021-02-03,103162: Δ=381,3155: Δ=13
2021-02-02,102781: Δ=382,3142: Δ=8
2021-02-01,102399: Δ=480,3134: Δ=8
2021-01-31,101919: Δ=431,3126: Δ=12
2021-01-30,101488: Δ=714,3114: Δ=23
2021-01-29,100774: Δ=501,3091: Δ=17
2021-01-28,100273: Δ=713,3074: Δ=9
2021-01-27,99560: Δ=732,3065: Δ=14
2021-01-26,98828: Δ=346,3051: Δ=9
2021-01-25,98482: Δ=612,3042: Δ=6
2021-01-24,97870: Δ=693,3036: Δ=5
2021-01-23,97177: Δ=846,3031: Δ=11
2021-01-22,96331: Δ=819,3020: Δ=16
2021-01-21,95512: Δ=881,3004: Δ=12
2021-01-20,94631: Δ=770,2992: Δ=23
2021-01-19,93861: Δ=447,2969: Δ=11
2021-01-18,93414: Δ=633,2958: Δ=8
2021-01-17,92781: Δ=835,2950: Δ=11
2021-01-16,91946: Δ=1028,2939: Δ=14
2021-01-15,90918: Δ=919,2925: Δ=15
2021-01-14,89999: Δ=1101,2910: Δ=7
2021-01-13,88898: Δ=1034,2903: Δ=24
2021-01-12,87864: Δ=1038,2879: Δ=16
2021-01-11,86826: Δ=806,2863: Δ=12
2021-01-10,86020: Δ=908,2851: Δ=14
2021-01-09,85112: Δ=1414,2837: Δ=18
2021-01-08,83698: Δ=1460,2819: Δ=12
2021-01-07,82238: Δ=1426,2807: Δ=5
2021-01-06,80812: Δ=1307,2802: Δ=18
2021-01-05,79505: Δ=842,2784: Δ=12
2021-01-04,78663: Δ=842,2772: Δ=13
2021-01-03,77821: Δ=599,2759: Δ=19
2021-01-02,77222: Δ=1607,2740: Δ=11
2021-01-01,75615: Δ=0,2729: Δ=0
2020-12-31,75615: Δ=1317,2729: Δ=11
2020-12-30,74298: Δ=1325,2718: Δ=24
2020-12-29,72973: Δ=849,2694: Δ=14
2020-12-28,72124: Δ=776,2680: Δ=8
2020-12-27,71348: Δ=600,2672: Δ=14
2020-12-26,70748: Δ=1489,2658: Δ=14
2020-12-25,69259: Δ=0,2644: Δ=0
2020-12-24,69259: Δ=1105,2644: Δ=18
2020-12-23,68154: Δ=921,2626: Δ=15
2020-12-22,67233: Δ=727,2611: Δ=9
2020-12-21,66506: Δ=853,2602: Δ=5
2020-12-20,65653: Δ=871,2597: Δ=15
2020-12-19,64782: Δ=784,2582: Δ=9
2020-12-18,63998: Δ=1277,2573: Δ=10
2020-12-17,62721: Δ=1081,2563: Δ=12
2020-12-16,61640: Δ=1019,2551: Δ=11
2020-12-15,60621: Δ=786,2540: Δ=2
2020-12-14,59835: Δ=757,2538: Δ=9
2020-12-13,59078: Δ=1131,2529: Δ=7
2020-12-12,57947: Δ=1097,2522: Δ=8
2020-12-11,56850: Δ=1085,2514: Δ=7
2020-12-10,55765: Δ=1085,2507: Δ=4
2020-12-09,54680: Δ=1162,2503: Δ=20
2020-12-08,53518: Δ=679,2483: Δ=4
2020-12-07,52839: Δ=494,2479: Δ=11
2020-12-06,52345: Δ=1035,2468: Δ=13
2020-12-05,51310: Δ=1202,2455: Δ=5
2020-12-04,50108: Δ=1212,2450: Δ=7
2020-12-03,48896: Δ=1225,2443: Δ=8
2020-12-02,47671: Δ=928,2435: Δ=5
2020-12-01,46743: Δ=513,2430: Δ=5
2020-11-30,46230: Δ=258,2425: Δ=7
2020-11-29,45972: Δ=609,2418: Δ=9
2020-11-28,45363: Δ=786,2409: Δ=3
2020-11-27,44577: Δ=1039,2406: Δ=5
2020-11-26,43538: Δ=0,2401: Δ=0
2020-11-25,43538: Δ=675,2401: Δ=7
2020-11-24,42863: Δ=426,2394: Δ=3
2020-11-23,42437: Δ=418,2391: Δ=6
2020-11-22,42019: Δ=635,2385: Δ=6
2020-11-21,41384: Δ=704,2379: Δ=5
2020-11-20,40680: Δ=450,2374: Δ=7
2020-11-19,40230: Δ=564,2367: Δ=1
2020-11-18,39666: Δ=549,2366: Δ=6
2020-11-17,39117: Δ=474,2360: Δ=4
2020-11-16,38643: Δ=397,2356: Δ=1
2020-11-15,38246: Δ=594,2355: Δ=4
2020-11-14,37652: Δ=539,2351: Δ=4
2020-11-13,37113: Δ=562,2347: Δ=6
2020-11-12,36551: Δ=528,2341: Δ=8
2020-11-11,36023: Δ=507,2333: Δ=8
2020-11-10,35516: Δ=339,2325: Δ=3
2020-11-09,35177: Δ=198,2322: Δ=3
2020-11-08,34979: Δ=393,2319: Δ=5
2020-11-07,34586: Δ=444,2314: Δ=4
2020-11-06,34142: Δ=368,2310: Δ=5
2020-11-05,33774: Δ=322,2305: Δ=8
2020-11-04,33452: Δ=333,2297: Δ=7
2020-11-03,33119: Δ=212,2290: Δ=2
2020-11-02,32907: Δ=126,2288: Δ=0
2020-11-01,32781: Δ=224,2288: Δ=7
2020-10-31,32557: Δ=262,2281: Δ=2
2020-10-30,32295: Δ=280,2279: Δ=7
2020-10-29,32015: Δ=207,2272: Δ=7
2020-10-28,31808: Δ=214,2265: Δ=8
2020-10-27,31594: Δ=193,2257: Δ=1
2020-10-26,31401: Δ=144,2256: Δ=4
2020-10-25,31257: Δ=225,2252: Δ=7
2020-10-24,31032: Δ=201,2245: Δ=2
2020-10-23,30831: Δ=175,2243: Δ=3
2020-10-22,30656: Δ=154,2240: Δ=8
2020-10-21,30502: Δ=135,2232: Δ=6
2020-10-20,30367: Δ=185,2226: Δ=0
2020-10-19,30182: Δ=196,2226: Δ=3
2020-10-18,29986: Δ=141,2223: Δ=4
2020-10-17,29845: Δ=117,2219: Δ=5
2020-10-16,29728: Δ=141,2214: Δ=9
2020-10-15,29587: Δ=127,2205: Δ=5
2020-10-14,29460: Δ=102,2200: Δ=4
2020-10-13,29358: Δ=133,2196: Δ=4
2020-10-12,29225: Δ=170,2192: Δ=2
2020-10-11,29055: Δ=138,2190: Δ=4
2020-10-10,28917: Δ=121,2186: Δ=4
2020-10-09,28796: Δ=158,2182: Δ=4
2020-10-08,28638: Δ=105,2178: Δ=3
2020-10-07,28533: Δ=141,2175: Δ=3
2020-10-06,28392: Δ=84,2172: Δ=0
2020-10-05,28308: Δ=65,2172: Δ=6
2020-10-04,28243: Δ=142,2166: Δ=0
2020-10-03,28101: Δ=140,2166: Δ=6
2020-10-02,27961: Δ=182,2160: Δ=4
2020-10-01,27779: Δ=155,2156: Δ=2
2020-09-30,27624: Δ=117,2154: Δ=5
2020-09-29,27507: Δ=115,2149: Δ=0
2020-09-28,27392: Δ=52,2149: Δ=3
2020-09-27,27340: Δ=139,2146: Δ=3
2020-09-26,27201: Δ=98,2143: Δ=4
2020-09-25,27103: Δ=89,2139: Δ=1
2020-09-24,27014: Δ=71,2138: Δ=5
2020-09-23,26943: Δ=123,2133: Δ=6
2020-09-22,26820: Δ=36,2127: Δ=4
2020-09-21,26784: Δ=52,2123: Δ=1
2020-09-20,26732: Δ=88,2122: Δ=2
2020-09-19,26644: Δ=99,2120: Δ=4
2020-09-18,26545: Δ=76,2116: Δ=1
2020-09-17,26469: Δ=86,2115: Δ=0
2020-09-16,26383: Δ=79,2115: Δ=6
2020-09-15,26304: Δ=58,2109: Δ=2
2020-09-14,26246: Δ=64,2107: Δ=2
2020-09-13,26182: Δ=44,2105: Δ=3
2020-09-12,26138: Δ=117,2102: Δ=6
2020-09-11,26021: Δ=90,2096: Δ=2
2020-09-10,25931: Δ=84,2094: Δ=5
2020-09-09,25847: Δ=55,2089: Δ=2
2020-09-08,25792: Δ=40,2087: Δ=1
2020-09-07,25752: Δ=40,2086: Δ=3
2020-09-06,25712: Δ=83,2083: Δ=1
2020-09-05,25629: Δ=71,2082: Δ=7
2020-09-04,25558: Δ=63,2075: Δ=4
2020-09-03,25495: Δ=84,2071: Δ=1
2020-09-02,25411: Δ=-2321,2070: Δ=-1
2020-09-01,27732: Δ=67,2071: Δ=1
2020-08-31,27665: Δ=70,2070: Δ=2
2020-08-30,27595: Δ=33,2068: Δ=4
2020-08-29,27562: Δ=99,2064: Δ=2
2020-08-28,27463: Δ=86,2062: Δ=0
2020-08-27,27377: Δ=81,2062: Δ=4
2020-08-26,27296: Δ=48,2058: Δ=4
2020-08-25,27248: Δ=90,2054: Δ=1
2020-08-24,27158: Δ=102,2053: Δ=10
2020-08-23,27056: Δ=0,2043: Δ=0
2020-08-22,27056: Δ=27,2043: Δ=5
2020-08-21,27029: Δ=75,2038: Δ=2
2020-08-20,26954: Δ=58,2036: Δ=2
2020-08-19,26896: Δ=331,2034: Δ=28
2020-08-18,26565: Δ=0,2006: Δ=0
2020-08-17,26565: Δ=0,2006: Δ=0
2020-08-16,26565: Δ=0,2006: Δ=0
2020-08-15,26565: Δ=0,2006: Δ=0
2020-08-14,26565: Δ=0,2006: Δ=0
2020-08-13,26565: Δ=0,2006: Δ=0
2020-08-12,26565: Δ=0,2006: Δ=0
2020-08-11,26565: Δ=95,2006: Δ=1
2020-08-10,26470: Δ=50,2005: Δ=2
2020-08-09,26420: Δ=75,2003: Δ=1
2020-08-08,26345: Δ=91,2002: Δ=3
2020-08-07,26254: Δ=98,1999: Δ=1
2020-08-06,26156: Δ=47,1998: Δ=9
2020-08-05,26109: Δ=82,1989: Δ=0
2020-08-04,26027: Δ=95,1989: Δ=1
2020-08-03,25932: Δ=38,1988: Δ=3
2020-08-02,25894: Δ=93,1985: Δ=2
