Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-01-16,53053: Δ=736,1700: Δ=6
2021-01-15,52317: Δ=592,1694: Δ=17
2021-01-14,51725: Δ=687,1677: Δ=10
2021-01-13,51038: Δ=690,1667: Δ=9
2021-01-12,50348: Δ=468,1658: Δ=9
2021-01-11,49880: Δ=398,1649: Δ=9
2021-01-10,49482: Δ=634,1640: Δ=12
2021-01-09,48848: Δ=969,1628: Δ=15
2021-01-08,47879: Δ=886,1613: Δ=12
2021-01-07,46993: Δ=980,1601: Δ=14
2021-01-06,46013: Δ=874,1587: Δ=12
2021-01-05,45139: Δ=406,1575: Δ=6
2021-01-04,44733: Δ=436,1569: Δ=8
2021-01-03,44297: Δ=420,1561: Δ=21
2021-01-02,43877: Δ=1282,1540: Δ=17
2021-01-01,42595: Δ=0,1523: Δ=0
2020-12-31,42595: Δ=955,1523: Δ=17
2020-12-30,41640: Δ=845,1506: Δ=17
2020-12-29,40795: Δ=377,1489: Δ=11
2020-12-28,40418: Δ=282,1478: Δ=11
2020-12-27,40136: Δ=432,1467: Δ=15
2020-12-26,39704: Δ=1110,1452: Δ=4
2020-12-25,38594: Δ=0,1448: Δ=0
2020-12-24,38594: Δ=679,1448: Δ=13
2020-12-23,37915: Δ=660,1435: Δ=17
2020-12-22,37255: Δ=491,1418: Δ=7
2020-12-21,36764: Δ=335,1411: Δ=5
2020-12-20,36429: Δ=624,1406: Δ=9
2020-12-19,35805: Δ=492,1397: Δ=5
2020-12-18,35313: Δ=694,1392: Δ=8
2020-12-17,34619: Δ=645,1384: Δ=7
2020-12-16,33974: Δ=687,1377: Δ=11
2020-12-15,33287: Δ=418,1366: Δ=4
2020-12-14,32869: Δ=417,1362: Δ=4
2020-12-13,32452: Δ=556,1358: Δ=6
2020-12-12,31896: Δ=704,1352: Δ=5
2020-12-11,31192: Δ=676,1347: Δ=4
2020-12-10,30516: Δ=641,1343: Δ=7
2020-12-09,29875: Δ=696,1336: Δ=11
2020-12-08,29179: Δ=424,1325: Δ=6
2020-12-07,28755: Δ=303,1319: Δ=3
2020-12-06,28452: Δ=638,1316: Δ=5
2020-12-05,27814: Δ=679,1311: Δ=12
2020-12-04,27135: Δ=583,1299: Δ=4
2020-12-03,26552: Δ=746,1295: Δ=10
2020-12-02,25806: Δ=660,1285: Δ=5
2020-12-01,25146: Δ=394,1280: Δ=4
2020-11-30,24752: Δ=126,1276: Δ=2
2020-11-29,24626: Δ=222,1274: Δ=6
2020-11-28,24404: Δ=349,1268: Δ=7
2020-11-27,24055: Δ=447,1261: Δ=5
2020-11-26,23608: Δ=0,1256: Δ=0
2020-11-25,23608: Δ=464,1256: Δ=12
2020-11-24,23144: Δ=279,1244: Δ=5
2020-11-23,22865: Δ=195,1239: Δ=2
2020-11-22,22670: Δ=255,1237: Δ=2
2020-11-21,22415: Δ=377,1235: Δ=2
2020-11-20,22038: Δ=406,1233: Δ=5
2020-11-19,21632: Δ=392,1228: Δ=3
2020-11-18,21240: Δ=329,1225: Δ=5
2020-11-17,20911: Δ=281,1220: Δ=1
2020-11-16,20630: Δ=255,1219: Δ=1
2020-11-15,20375: Δ=209,1218: Δ=6
2020-11-14,20166: Δ=385,1212: Δ=1
2020-11-13,19781: Δ=313,1211: Δ=3
2020-11-12,19468: Δ=373,1208: Δ=4
2020-11-11,19095: Δ=351,1204: Δ=5
2020-11-10,18744: Δ=270,1199: Δ=3
2020-11-09,18474: Δ=140,1196: Δ=1
2020-11-08,18334: Δ=163,1195: Δ=1
2020-11-07,18171: Δ=298,1194: Δ=5
2020-11-06,17873: Δ=221,1189: Δ=4
2020-11-05,17652: Δ=304,1185: Δ=2
2020-11-04,17348: Δ=147,1183: Δ=3
2020-11-03,17201: Δ=124,1180: Δ=1
2020-11-02,17077: Δ=60,1179: Δ=2
2020-11-01,17017: Δ=123,1177: Δ=2
2020-10-31,16894: Δ=129,1175: Δ=2
2020-10-30,16765: Δ=185,1173: Δ=2
2020-10-29,16580: Δ=109,1171: Δ=2
2020-10-28,16471: Δ=122,1169: Δ=7
2020-10-27,16349: Δ=139,1162: Δ=1
2020-10-26,16210: Δ=146,1161: Δ=3
2020-10-25,16064: Δ=87,1158: Δ=1
2020-10-24,15977: Δ=117,1157: Δ=0
2020-10-23,15860: Δ=82,1157: Δ=1
2020-10-22,15778: Δ=97,1156: Δ=2
2020-10-21,15681: Δ=59,1154: Δ=7
2020-10-20,15622: Δ=78,1147: Δ=2
2020-10-19,15544: Δ=69,1145: Δ=1
2020-10-18,15475: Δ=63,1144: Δ=2
2020-10-17,15412: Δ=55,1142: Δ=2
2020-10-16,15357: Δ=77,1140: Δ=3
2020-10-15,15280: Δ=42,1137: Δ=5
2020-10-14,15238: Δ=49,1132: Δ=1
2020-10-13,15189: Δ=48,1131: Δ=2
2020-10-12,15141: Δ=51,1129: Δ=1
2020-10-11,15090: Δ=68,1128: Δ=1
2020-10-10,15022: Δ=40,1127: Δ=0
2020-10-09,14982: Δ=77,1127: Δ=1
2020-10-08,14905: Δ=41,1126: Δ=1
2020-10-07,14864: Δ=73,1125: Δ=1
2020-10-06,14791: Δ=51,1124: Δ=2
2020-10-05,14740: Δ=52,1122: Δ=2
2020-10-04,14688: Δ=51,1120: Δ=0
2020-10-03,14637: Δ=39,1120: Δ=1
2020-10-02,14598: Δ=70,1119: Δ=2
2020-10-01,14528: Δ=57,1117: Δ=2
2020-09-30,14471: Δ=54,1115: Δ=8
2020-09-29,14417: Δ=42,1107: Δ=4
2020-09-28,14375: Δ=31,1103: Δ=2
2020-09-27,14344: Δ=43,1101: Δ=3
2020-09-26,14301: Δ=49,1098: Δ=1
2020-09-25,14252: Δ=34,1097: Δ=1
2020-09-24,14218: Δ=59,1096: Δ=1
2020-09-23,14159: Δ=40,1095: Δ=1
2020-09-22,14119: Δ=5,1094: Δ=1
2020-09-21,14114: Δ=35,1093: Δ=3
2020-09-20,14079: Δ=29,1090: Δ=4
2020-09-19,14050: Δ=43,1086: Δ=3
2020-09-18,14007: Δ=38,1083: Δ=0
2020-09-17,13969: Δ=42,1083: Δ=6
2020-09-16,13927: Δ=25,1077: Δ=2
2020-09-15,13902: Δ=25,1075: Δ=1
2020-09-14,13877: Δ=35,1074: Δ=0
2020-09-13,13842: Δ=35,1074: Δ=1
2020-09-12,13807: Δ=41,1073: Δ=4
2020-09-11,13766: Δ=50,1069: Δ=3
2020-09-10,13716: Δ=38,1066: Δ=4
2020-09-09,13678: Δ=12,1062: Δ=1
2020-09-08,13666: Δ=12,1061: Δ=0
2020-09-07,13654: Δ=27,1061: Δ=1
2020-09-06,13627: Δ=35,1060: Δ=1
2020-09-05,13592: Δ=41,1059: Δ=0
2020-09-04,13551: Δ=29,1059: Δ=3
2020-09-03,13522: Δ=39,1056: Δ=1
2020-09-02,13483: Δ=-734,1055: Δ=0
2020-09-01,14217: Δ=41,1055: Δ=0
2020-08-31,14176: Δ=22,1055: Δ=0
2020-08-30,14154: Δ=11,1055: Δ=2
2020-08-29,14143: Δ=36,1053: Δ=3
2020-08-28,14107: Δ=29,1050: Δ=4
2020-08-27,14078: Δ=27,1046: Δ=3
2020-08-26,14051: Δ=35,1043: Δ=1
2020-08-25,14016: Δ=27,1042: Δ=1
2020-08-24,13989: Δ=34,1041: Δ=5
2020-08-23,13955: Δ=0,1036: Δ=0
2020-08-22,13955: Δ=14,1036: Δ=2
2020-08-21,13941: Δ=51,1034: Δ=0
2020-08-20,13890: Δ=24,1034: Δ=2
2020-08-19,13866: Δ=180,1032: Δ=25
2020-08-18,13686: Δ=0,1007: Δ=0
2020-08-17,13686: Δ=0,1007: Δ=0
2020-08-16,13686: Δ=0,1007: Δ=0
2020-08-15,13686: Δ=0,1007: Δ=0
2020-08-14,13686: Δ=0,1007: Δ=0
2020-08-13,13686: Δ=0,1007: Δ=0
2020-08-12,13686: Δ=0,1007: Δ=0
2020-08-11,13686: Δ=32,1007: Δ=1
2020-08-10,13654: Δ=24,1006: Δ=1
2020-08-09,13630: Δ=28,1005: Δ=5
2020-08-08,13602: Δ=47,1000: Δ=1
2020-08-07,13555: Δ=30,999: Δ=1
2020-08-06,13525: Δ=28,998: Δ=5
2020-08-05,13497: Δ=28,993: Δ=0
2020-08-04,13469: Δ=27,993: Δ=0
2020-08-03,13442: Δ=27,993: Δ=1
2020-08-02,13415: Δ=39,992: Δ=1
2020-08-01,13376: Δ=54,991: Δ=1
2020-07-31,13322: Δ=79,990: Δ=2
2020-07-30,13243: Δ=39,988: Δ=2
2020-07-29,13204: Δ=38,986: Δ=4
2020-07-28,13166: Δ=26,982: Δ=2
2020-07-27,13140: Δ=47,980: Δ=0
