Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-01-30,35779: Δ=304,1159: Δ=4
2021-01-29,35475: Δ=293,1155: Δ=6
2021-01-28,35182: Δ=385,1149: Δ=1
2021-01-27,34797: Δ=235,1148: Δ=6
2021-01-26,34562: Δ=197,1142: Δ=5
2021-01-25,34365: Δ=362,1137: Δ=2
2021-01-24,34003: Δ=292,1135: Δ=4
2021-01-23,33711: Δ=340,1131: Δ=7
2021-01-22,33371: Δ=397,1124: Δ=6
2021-01-21,32974: Δ=348,1118: Δ=11
2021-01-20,32626: Δ=380,1107: Δ=3
2021-01-19,32246: Δ=247,1104: Δ=6
2021-01-18,31999: Δ=259,1098: Δ=7
2021-01-17,31740: Δ=393,1091: Δ=4
2021-01-16,31347: Δ=548,1087: Δ=6
2021-01-15,30799: Δ=445,1081: Δ=3
2021-01-14,30354: Δ=496,1078: Δ=6
2021-01-13,29858: Δ=423,1072: Δ=5
2021-01-12,29435: Δ=460,1067: Δ=3
2021-01-11,28975: Δ=387,1064: Δ=6
2021-01-10,28588: Δ=406,1058: Δ=5
2021-01-09,28182: Δ=558,1053: Δ=5
2021-01-08,27624: Δ=672,1048: Δ=9
2021-01-07,26952: Δ=526,1039: Δ=4
2021-01-06,26426: Δ=405,1035: Δ=8
2021-01-05,26021: Δ=355,1027: Δ=5
2021-01-04,25666: Δ=386,1022: Δ=4
2021-01-03,25280: Δ=287,1018: Δ=7
2021-01-02,24993: Δ=697,1011: Δ=6
2021-01-01,24296: Δ=0,1005: Δ=0
2020-12-31,24296: Δ=488,1005: Δ=4
2020-12-30,23808: Δ=416,1001: Δ=13
2020-12-29,23392: Δ=287,988: Δ=5
2020-12-28,23105: Δ=343,983: Δ=4
2020-12-27,22762: Δ=251,979: Δ=5
2020-12-26,22511: Δ=477,974: Δ=2
2020-12-25,22034: Δ=0,972: Δ=0
2020-12-24,22034: Δ=467,972: Δ=2
2020-12-23,21567: Δ=300,970: Δ=3
2020-12-22,21267: Δ=248,967: Δ=5
2020-12-21,21019: Δ=290,962: Δ=3
2020-12-20,20729: Δ=236,959: Δ=4
2020-12-19,20493: Δ=341,955: Δ=4
2020-12-18,20152: Δ=421,951: Δ=5
2020-12-17,19731: Δ=301,946: Δ=3
2020-12-16,19430: Δ=406,943: Δ=2
2020-12-15,19024: Δ=301,941: Δ=3
2020-12-14,18723: Δ=274,938: Δ=2
2020-12-13,18449: Δ=285,936: Δ=2
2020-12-12,18164: Δ=307,934: Δ=6
2020-12-11,17857: Δ=307,928: Δ=3
2020-12-10,17550: Δ=400,925: Δ=3
2020-12-09,17150: Δ=310,922: Δ=2
2020-12-08,16840: Δ=276,920: Δ=2
2020-12-07,16564: Δ=181,918: Δ=1
2020-12-06,16383: Δ=241,917: Δ=6
2020-12-05,16142: Δ=354,911: Δ=1
2020-12-04,15788: Δ=243,910: Δ=4
2020-12-03,15545: Δ=395,906: Δ=4
2020-12-02,15150: Δ=260,902: Δ=6
2020-12-01,14890: Δ=204,896: Δ=3
2020-11-30,14686: Δ=98,893: Δ=1
2020-11-29,14588: Δ=93,892: Δ=0
2020-11-28,14495: Δ=126,892: Δ=0
2020-11-27,14369: Δ=286,892: Δ=4
2020-11-26,14083: Δ=0,888: Δ=0
2020-11-25,14083: Δ=135,888: Δ=3
2020-11-24,13948: Δ=116,885: Δ=0
2020-11-23,13832: Δ=86,885: Δ=2
2020-11-22,13746: Δ=129,883: Δ=1
2020-11-21,13617: Δ=112,882: Δ=0
2020-11-20,13505: Δ=119,882: Δ=2
2020-11-19,13386: Δ=126,880: Δ=2
2020-11-18,13260: Δ=114,878: Δ=4
2020-11-17,13146: Δ=115,874: Δ=4
2020-11-16,13031: Δ=131,870: Δ=1
2020-11-15,12900: Δ=73,869: Δ=4
2020-11-14,12827: Δ=124,865: Δ=2
2020-11-13,12703: Δ=87,863: Δ=1
2020-11-12,12616: Δ=124,862: Δ=0
2020-11-11,12492: Δ=120,862: Δ=7
2020-11-10,12372: Δ=114,855: Δ=4
2020-11-09,12258: Δ=63,851: Δ=0
2020-11-08,12195: Δ=64,851: Δ=1
2020-11-07,12131: Δ=109,850: Δ=2
2020-11-06,12022: Δ=93,848: Δ=0
2020-11-05,11929: Δ=98,848: Δ=0
2020-11-04,11831: Δ=84,848: Δ=5
2020-11-03,11747: Δ=66,843: Δ=2
2020-11-02,11681: Δ=50,841: Δ=2
2020-11-01,11631: Δ=68,839: Δ=2
2020-10-31,11563: Δ=77,837: Δ=1
2020-10-30,11486: Δ=63,836: Δ=1
2020-10-29,11423: Δ=73,835: Δ=3
2020-10-28,11350: Δ=56,832: Δ=4
2020-10-27,11294: Δ=77,828: Δ=2
2020-10-26,11217: Δ=94,826: Δ=3
2020-10-25,11123: Δ=56,823: Δ=3
2020-10-24,11067: Δ=92,820: Δ=0
2020-10-23,10975: Δ=80,820: Δ=6
2020-10-22,10895: Δ=71,814: Δ=5
2020-10-21,10824: Δ=38,809: Δ=3
2020-10-20,10786: Δ=93,806: Δ=2
2020-10-19,10693: Δ=74,804: Δ=0
2020-10-18,10619: Δ=46,804: Δ=2
2020-10-17,10573: Δ=33,802: Δ=2
2020-10-16,10540: Δ=54,800: Δ=7
2020-10-15,10486: Δ=62,793: Δ=7
2020-10-14,10424: Δ=44,786: Δ=2
2020-10-13,10380: Δ=56,784: Δ=1
2020-10-12,10324: Δ=106,783: Δ=3
2020-10-11,10218: Δ=46,780: Δ=0
2020-10-10,10172: Δ=42,780: Δ=1
2020-10-09,10130: Δ=72,779: Δ=1
2020-10-08,10058: Δ=34,778: Δ=0
